Name,Alias,Nuttin
41214300,Profit on disposal of other tangible capital,
41214110,Profit on disposal of land (MOD only) DO NOT USE,
41214310,Profit on disposal of other tangible capital (MOD only) DO NOT USE,
41215000,Profits on the disposal of Intangible Assets,x
41216000,Allowable profits on the disposal of Investments,
41216100,Gain on disposal of financial assets,x
41216200,Gain on disposal of financial liabilities,x
41216110,Profit on sale of other company securities (MOD only) DO NOT USE,
41216210,Profit on sale of other investments (MOD only) DO NOT USE,
41216300,Profit on maturity of hedging contracts - current,
41217000,Asset management revenue account adjustment,
41218000,Notional income,
41219000,Notional income reversal,
41220000,Write off of discounts of restructuring of debt,
41230000,WGA LG Accounts - Income,
41235000,Non WGA Account - Income,
41235100,Government Grants Deferred Expense,
41235200,AMRA Charges to Services,
41235300,Recharge Receipts,
41225000,Occupational Pension Scheme Income,
41225100,Pension contributions receivable - employer contributions,
41225200,Pension contributions receivable - employee contributions,
41225300,Contributions Receivable - Other minor agency & principal scheme arrangements,
41225400,Transfers in income - Pension Scheme - group public,
41225500,Other Income - Pension Scheme Income,
41225410,Transfers in income - Pension Scheme - individual,
41225420,Transfers in income - Pension Scheme - group private,
41235400,Share of Operating Result of Associates & Joint Ventures,
41235500,Share of Exceptional Items of Associates & Joint Ventures,
41235600,Share of Interest & Investment Income of Associates & Joint Ventures,
41235700,Minority Interest Share of Profits or Losses of Subsidiaries,
41215010,Allowable profits on the disposal of Intangible Assets (MOD only) DO NOT USE,
41207100,Repayments (equity) from World Bank and similar institutions,
41208100,Revenue items which net off (DWP use only - PPF admin levy),
41205100,Income recd from fines & asset recovery (not classified as a specific tax),
41235110,Other Grants Deferred Expense,
41204000,Fee income treated as capital in National Accounts [HMT only],
41301000,Increase in Fair Value - Financial Liabilities,x
41302000,Increase in Fair Value - Financial Liabilities,x
49999999,Suspense Revenue,
51000000,OPERATING COSTS (RI=P),
51100000,Staff Costs,
51110000,Staff - Current service costs,
51111000,Current Service Costs (UK),
51111100,Wages & salaries (UK),
51111200,Social security costs (UK),
51111300,Staff - Other pension costs (UK),
51111400,Net movement in accrued employee benefits,
51112000,Current Service Costs Overseas (LES),
51112100,Wages & salaries (LES),
51112200,Social security costs (LES),
51112300,Staff - Other pension costs (LES),
51120000,Pension costs,
51121100,Employers pension current service costs,
51121200,Employers pension past service costs,
51121300,Recognition of gain on settlement of pension liability,
51121400,Employer contribution costs (UK),
51122450,Employer contribution costs (LES),
51121500,Pensions Costs - Enhancements,
51130000,Other Pension Costs,
51131000,Transfers In - Expense due to the gross increase in pensions liability,
51132000,Injury Benefits,
51133000,Benefits Payable - (not charged to provision),
51134000,Benefits Payable - Agency Arrangements,
51135000,Benefits Payable - Other minor agency and principal pension scheme arrangements,
51200000,Rentals Under Operating Leases,
51211000,Rent - buildings (non-PFI operating lease),
51212000,Rent - land (non-PFI operating lease),
51220000,Hire of plant & machinery (non-PFI operating lease),
51230000,Other rentals under operating leases (non-PFI),
51270000,Service element of PFI finance leases,
51300000,amortisation & Impairment Charges,
51310000,amortisation Charges,
51311000,"Property, plant & equipment amortisation",
51312000,"Leased property, plant and equipment amortisation",
51313000,Intangible Assets amortisation,
51311100,"Property, plant and equipment amortisation (NHS use only)",
51312100,"Leased Property, plant & equipment amortisation (NHS use only)",
51313100,Intangible Assets amortisation (NHS use only),
51320000,Impairment,
51321000,Capital Assets impairment,
51321100,"Property, plant & equipment impairment",
51321200,"Leased property, plant & equipment impairment",
51321300,Intangible Asset Impairment,
51321120,"Property, plant & equipment impairment - catastrophic loss",
51321130,"Property, plant & equipment impairment - abandonment in course of cons",
51321140,"Property, plant & equip impairment - unforeseen obsolescence",
51321150,"Property, plant & equip impairment - overspecification of assets",
51321160,"Property, plant & equip impairment - other impairments",
51321220,"Leased property, plant & equip impairment - catastrophic loss",
51321230,"Leased property, plant & equipment impairment - abandonment in course of cons",
51321240,"Leased property, plant & equip impairment - unforeseen obsolescence",
51321250,"Leased property, plant & equip impairment - overspecification of assets",
51321260,"Leased property, plant & equip impairment - other impairments",
51321320,Intangible Assets Impairment - catastrophic loss,
51321330,Intangible Assets Impairment - abandonment of asset in course of const,
51321340,Intangible Assets Impairment - unforeseen obsolescence,
51321350,Intangible Assets Impairment - over specification of assets,
51321360,Intangible Assets Impairment - other impairments,
51321410,Inventories Treated as Assets - normal business operations,
51321420,Inventories Treated as Assets - catastrophic loss,
51321430,Inventories Treated as Assets - abandonment of asset in course of construction,
51321440,Inventories Treated as Assets - unforeseen obsolescence,
51321450,Inventories treated as Assets - over specification of assets,
51321460,Inventories Treated as Assets - other impairments,
51321370,intangible assets Impairment - Landfill Allowances,
51322000,Financial Assets Impairment,
51322100,Financial asset impairment,x
51322200,Current Asset Investment Impairment,
51323000,Revaluations,
51323100,"Revaluations - Property, plant and equipment",
51323200,"Revaluations - Leased property, plant and equipment",
51323300,Revaluations - Intangible assets,
51323400,"Revaluations - investments property, plant and equipment",
51323500,Revaluations - Current asset investments,
51323600,Revaluations - Inventories Treated as Assets,
51323700,Decrease in Fair Value - Financial Assets,x
51323710,Decrease in Fair Value - Financial Liabilities,x
51323720,Recycled avail for sale revaluations from STRGL,x
51323800,Change in fair value (IFRS),
51323900,Change in fair value - biological assets (IFRS),
51323910,Change in fair value - Investment properties (IFRS),
51400000,Other Expenditure,
51401000,Write off of premium of restructuring for debt,
51402000,Corporation taxation payable,
51403000,Purchase of Goods & Services (excluding Consultancy Services),
51404000,Contract and Agency Staff (excluding Consultants),
51405000,Other expenses,
51406000,Social Security Benefits,x
51406001,State Retirement Pension,x
51406002,Housing Benefit,x
51406003,Disability Living Allowance,x
51406004,Income Support,x
51406005,State Pension Credit,x
51406006,Incapacity Benefit,x
51406007,Council Tax Benefit,x
51406008,Jobseeker's Allowance,x
51406009,Carer's Allowance,x
51406010,Tax Credits,x
51406011,Other Local Govt support & benefits (transfer payments),x
51406012,Other Benefits,x
51408000,Foreign exchange gains/(losses) on non-financial instruments,x
51408100,Foreign exchange gains/(losses) on financial instruments,x
51401100,Highways renewals maintenance,
51409000,Auditors remuneration,
51409100,Auditors remuneration and expenses - notional,
51409200,Auditors remuneration and expenses - notional - Reversal,
51409300,Auditors remuneration and expenses for audit services - cash,
51409400,Auditors remuneration and expenses for further assurance services - cash,
51409500,Dummy adjustment for split treatment provisions - SCOA SHOULD NO LONGER BE USED,
51410000,Non cash charges,
51410100,Cost of capital charge,
51410120,Cost of Capital charge in connection with loans and PDC,
51410130,Cost of capital charge Other - lncludes net assets,
51410140,Cost of capital credit on capital grant provisions,
51410200,Cost of Capital Charge Reversal,
51410300,Other notional costs,
51410400,Other notional costs reversal,
51411000,Provisions Expense,
51411100,Provision for Deferred Corporation Taxation - (DCT),
51411150,Provision for Early Departure (inc pay and procurement) - (ED),
51411200,Provision for Environmental Damage - (EP),
51411250,Provision for Nuclear decom.- (NDC),
51411300,Provision for Clinical Negligence - (CN),
51411350,Provision for Student Loans - (SL),
51411400,Provision Coal Health - (CH),
51411450,Provision for Unbilled Legal Fees  - (UBL),
51411500,Provision for bad debts on Loans - (BDL),
51411550,Provision for legal claims - (LC),
51411600,Provisions - Other,
51411650,Provisions - Capital,
51411700,BMW/LATS Landfill Usage,
51412000,Write offs,
51412100,Loans Written Off - Mutual Consent,
51412150,Central Government - Loan write offs - Mutual Consent,
51412160,Local Government - Loan write offs - Mutual Consent,
51412130,Public corporation - Loan write offs - Mutual Consent,
51412110,Private sector (Persons and NPISH) - Loan write offs - Mutual Consent,
51412120,Private sector Companies - Loan write offs - Mutual Consent,
51412140,Overseas - Loan write offs - Mutual Consent,
51412200,Public Dividend Capital Written off - Mutual Consent,
51412300,Assets Written off,
51412400,Write down in investment properties,
51412500,inventories written off,
51413000,Bad debts expense,
51413100,"Bad debts in connexion with pay, procurement, capital.",x
51414000,Profit or Loss on sale,
51414100,"Profit or Loss on disposal of property, plant and equipment",
51414110,"Loss on the disposal of property, plant and equipment",
51414112,Loss on disposal of land,x
51414114,Loss on disposal of buildings,
51414115,Loss on disposal of buildings (MOD only) DO NOT USE,
51414116,Loss on disposal of other tangible capital,x
51414117,Loss on disposal of other tangible capital (MOD only) DO NOT USE,
51414113,Loss on disposal of land (MOD only) DO NOT USE,
51414120,Profit on the disposal of Tangible Assets (to be netted off against loss),
51414122,Profit on disposal of buildings - (to be netted off),
51414124,"Profit on disposal of other property, plant & equipment (to be netted off)",
51414125,Profit on disposal of other - Tangible Assets (MOD only) DO NOT USE,
51414200,Loss on disposal of investments,
51414210,Loss on disposal of financial assets,x
51414220,Loss on disposal of financial liabilities,x
51414211,Loss on sale of other company securities (MOD only) DO NOT USE,
51414221,Loss on sale of other investments (MOD only) DO NOT USE,
51414230,Loss of maturity of hedging contracts - current,
51414300,Loss on disposal of intangible assets,
51414310,Loss on disposal of intangible assets (MOD only) DO NOT USE,
51414130,Profit or Loss on disposal of intangible assets,
51414131,LATS Profit/Loss on sale,
51414330,Loss on disposal of inventories,
51420000,LG Expenditure Only,
51421000,WGA LG Accounts - Expenditure,
51421100,Levies & Local Precepts,
51430000,Non WGA Account - Expenditure,
51431000,Capital charges amortisation & notional interest,
51431100,Loss on impairment of assets,
51431200,Amortisation of deferred charges,
51431300,AMRA Balance,
51431400,Minimum Revenue Provision Adjustment,
51431500,MRP - amortisation Reversal,
51431600,Capital expenditure charged to revenue,
51431700,Other appropriations,
51431800,Transfers to/from Schools Balances,
51431900,Transfers to/from Earmarked Reserves,
51432000,Distributed Surplus/deficit on collection fund,
51432100,AMRA amortisation,
51432200,AMRA Impairment,
51432300,AMRA Deferred Charges,
51432400,AMRA Interest Payable,
51432500,Transfers to/from HRA/MRR,
51432600,Balance of AMRA Account,
51432700,AMRA Premiums & Discounts DO NOT USE,
51432800,Share of Interest Payable of Associates & Joint Ventures,
51432900,(Gain)/Loss on Repurchase or Early Settlement of Borrowing,
51433000,Share of Pension Interest Cost & Expected Returns of Associates & Joint Ventures,
51433100,Taxation Payable of Group Entities,
51433200,Share of Taxation Cost of Associates & Joint Ventures,
51433300,Contributions to/from Reserves  Subsidiary Entities,
51433400,Contributions to/from Reserves  Associates & Joint Ventures,
51431650,Payments to Housing Capital Receipts Pool,
51407000,Emissions expense,
51406100,Social Assistance Benefits,
51401200,Payments (equity) made to World Bank and similar institutions,
51401400,Purchase of Consultancy Services,
51401600,Research and development costs,x
51401300,Business Rates,
51405100,Revenue items which net off (DWP use only for PPF admin levy),
51600000,Grants & Subsidies,
51609000,Grant-in-aid to NDPBs,
51610000,Capital Grants,
51615000,Departmental transfer for a co-funded NDPB - capital payment,
51611000,Grants to local authorities (CAP),
51611200,Grants replacing loan charge grants & other financing grants (CAP),
51611300,Other Grants to Local Authorities (CAP),
51611400,Capital grants to Las (only to be used with HMT consent: DfT only),
51612100,Grants to Public Corporations (PCs) (CAP),
51612000,Grants to public Corporations (CAP),
51612200,Grants to Public Corporations (PCs) (CAPITAL),
51617100,Grants to Private Sector - Persons & NPISH (CAP),
51617000,Grants to private sector - Persons and NPISH (CAP),
51617200,Grants to Private Sector - Persons and NPISH (CAPITAL),
51618100,Grants to Private Sector - Companies (CAP),
51618000,Grants to private sector companies (CAP),
51618200,Grants to Private Sector - Companies (CAPITAL),
51614100,Grants Overseas (CAP),
51614000,Grants to overseas  (CAP),
51614200,Grants to Overseas (CAPITAL),
51616100,Departmental transfer not for a co-funded NDPB - capital payment,
51620000,Current Grants,
51620100,Grants to local authorities (CUR),
51620110,Grants to Local Authorities within AEF / AEG,
51620120,Grants to Local Authorities outside AEF / AEG,
51620130,Uncapitalised grants to Local Authorities covering loan charges. ,
51620140,Non-Domestic rates,
51620125,Area Based Grants,
51620141,Revenue Support Grant Payable - WGA Only,
51620142,PFI Special (current) Grant  Payable - WGA Only,
51620143,General GLA  (current) Grant Payable - WGA Only,
51620144,Supporting People (Current Grant) Payable - WGA Only,
51620111,Housing Benefit and Council Tax Benefit Admin Grant Payable - WGA Only,
51620114,GLA Transport Grant (revenue element only) Payable - WGA Only,
51620117,Dedicated Schools Grant Payable - WGA Only,
51620118,Other Schools/Teacher related (Standard) currrent grants Payable - WGA Only,
51620119,Sure Start (current) Grants  Payable - WGA Only,
51620121,Non-HRA Rent Rebates: subsidy Payable - WGA Only,
51620122,HRA Rent Rebates: subsidy Payable - WGA Only,
51620123,Rent Allowance: subsidy Payable - WGA Only,
51620124,Council Tax Benefit: subsidy Payable - WGA Only,
51620300,"Grants to NDPBs, other bodies & organisations within Central Government (CUR)",
51620310,Departmental transfer for a co-funded NDPB - current payment,
51620320,Departmental transfer not for a co-funded NDPB - current payment,
51620330,Transfers to NI exchequer / Scottish consolidated fund / Wales,
51620340,Grants to the National insurance fund,
51620350,Departmental transfer for a co-funded NDPB - current payment (duplicate),
51620360,Departmental transfer not for a co-funded NDPB - current payment (duplicate),
51620370,Payments to NHS/Foundation Trusts (DH only),
51620400,Current Grants to private sector - NPISH,
51620200,Grants to overseas (CUR),
51620129,Housing Revenue Accounts Subsidy Payable - WGA Only,
51625000,Subsidies,
51625200,Subsidies to CG & local authority market kind of activity units,
51625300,Subsidies to Public Corporations (CUR),
51625100,Subsidies to the Private sector (CUR),
51625400,Broadcast Licence Payments,
51630000,EU Capital Grants,
51634000,"EU Grants to NDPBs, other bodies & organisations within CGA (CAP)",
51631000,EU Grants to local authorities (CAP),
51632100,EU Grants to Public Corporations (PCs) (CAP),
51632000,EU Grants to public Corporations (CAP),
51632200,EU Grants to Public Corporations (PCs) (CAPITAL),
51635100,EU Grants to the Private Sector - Persons & NPISH (CAP),
51635000,EU Grants to the private sector - Persons and NPISH (CAP),
51635200,EU Grants to the private sector - Persons and NPISH (CAPITAL),
51636100,EU Grants to Private Sector - Companies (CAP),
51636000,EU Grants to private sector companies (CAP),
51636200,EU Grants to Private Sector - Companies (CAPITAL),
51640000,EU Current Grants & Subsidies,
51644000,"EU Grants to NDPBs, other bodies & organisations within CGA (CUR)",
51641000,EU Grants to local authorities (CUR),
51642000,EU Subsidies to public Corporations (CUR),
51645000,EU Current Grants to the private sector - NPISH,
51646000,EU Grants to private sector companies (CUR),
59999999,Suspense Expense,
41300000,INTEREST RECEIVABLE AND OTHER SIMILAR INCOME,
41320000,Interest receivable,
41325000,Interest Receipts within Central Government,
41325100,Interest receivable - Funds,
41325200,Interest receivable - Within Central Government - Other,
41323000,Central Government Receipts of interest from public corporations,
41322000,Receipts of interest from local authorities,
41321000,Receipts of interest from the private sector,
41321100,Interest receivable - Student Loans,
41321200,Interest receivable - Private Sector - Other,
41324000,Receipts of interest from overseas. ,
41330000,Dividends receivable,
41331000,Receipts of Dividends from public corporations (PC),
41331100,Dividends receivable - PDC (PC),
41331200,Dividends receivable (Equity Withdrawals) - PDC (PC) - DO NOT USE,
41331300,Dividends receivable - Joint Ventures and associates (PC),
41331400,Dividends receivable - Shares & other (PC),
41332500,Dividends receivable (Equity Withdrawals in capital budgets) - PDC (PC),
41332000,Receipts of dividends from private sector (PS),
41332100,Dividends receivable - Joint Ventures and associates (PS),
41332200,Dividends receivable - Shares & other (outside Public Sector),
41340000,Funded Defined Benefit Schemes expected return on assets,
54000000,INTEREST PAYABLE AND OTHER SIMILAR EXPENSES,
54010000,Unwinding of discount in provisions,
54011000,Unwinding of discount in capital provisions,
54012000,Unwinding of discount in Student Loan provisions,
54015000,Interest on Scheme Liabilities,
54016000,Other Interest Payable - pension schemes,
54017000,Interest Payable,
54017100,Interest payable on bank loans and overdrafts - (BLO's),
54017110,Payments of interest within Central Government - (BLO's),
54017120,Payments of interest to the Private Sector - (BLO's),
54017130,Payments of interest overseas - (BLO's),
54017200,Interest payable on National Debt - (ND),
54017210,Payments of interest within CG - (ND),
54017220,Payments of interest to local authorities - (ND),
54017230,Payments of interest to Public Corporations - (ND),
54017240,Payments of interest overseas - (ND),
54017300,Interest payable other borrowings - (OB),
54017310,Payments of interest within Central Government - (OB),
54017320,Payments of interest to local authorities - (OB),
54017330,Payments of interest to Public Corporations - (OB),
54017340,Payments of interest overseas - (OB),
54017350,Payments of interest to the Private Sector - (OB),
54017600,Interest payable finance Leases,
54017620,Interest payable on finance leases (PFI),
54017630,Interest payable on finance leases (non-PFI),
55000000,Minority Interest,
55001000,Minority Interest - Equity Interest,
55002000,Minority Interest - Non Equity Interest,
56000000,Dividends,
56001000,Dividends Payable,
56002000,Dividends Payable - PDC,
BS,BALANCE SHEET,
10000000,ASSETS,
11000000,INTANGIBLE ASSETS,
11100000,Development Expenditure (DE),
11110000,Gross BV - DE,
11111000,Gross BV BF - DE,
11112000,Additions - DE,
11113000,Donations - DE,
11114000,Impairment Reversal - DE,
11115000,Impairment Losses - DE,
11116000,Disposals GBV - DE,
11117000,Revaluation - DE,
11118000,Reclassifications - DE,
11118500,Transfers - DE,
11119000,Write off - DE,
11120000,amortisation - DE,
11121000,Accum.  amortisation. - DE,
11122000,Current amortisation. - DE,
11123000,Impairment Reversal amortisation - DE,
11124000,Impairment amortisation - DE,
11125000,Disposal amortisation. - DE,
11126000,Revaluation amortisation. - DE,
11128000,Reclassification amortisation. - DE,
11128500,Transfers amortisation. - DE,
11129000,Write off amortisation. - DE,
11200000,Patents,
11210000,Gross BV Patents,
11211000,Gross BV BF - Patents,
11212000,Additions - Patents,
11213000,Donations - Patents,
11214000,Impairment Reversal - Patents,
11215000,Impairment Losses - Patents,
11216000,Disposal -Patents,
11217000,Revaluation Patents,
11218000,Reclassification Patents,
11218500,Transfers - Patents,
11219000,Write off Patents,
11220000,amortisation -Patents,
11221000,Accum. amortisation. -Patents,
11222000,Current amortisation. -Patents,
11224000,Impairment Reversal amortisation - Patents,
11225000,Impairment amortisation - Patents,
11226000,Disposal amortisation. -Patents,
11227000,Revaluation amortisation. - Patents,
11228000,Reclassification amortisation. -Patents,
11228500,Transfers amortisation. - Patents,
11229000,Write off amortisation. -Patents,
11300000,Software Licences (SW LIC),
11310000,Gross BV SW LIC,
11311000,Book Value BF - SW LIC,
11312000,Additions - SW LIC,
11313000,Donations - SW LIC,
11314000,Impairment Reversal - SW-LIC,
11315000,Impairment Losses - SW LIC,
11316000,Disposal -SW LIC,
11317000,Revaluation SW LIC,
11318000,Reclassification SW LIC,
11318500,Transfers SW LIC,
11319000,Write off SW LIC,
11320000,amortisation -SW LIC,
11321000,Accum. amortisation. -SW LIC,
11322000,Current amortisation. -SW LIC,
11324000,Impairment Reversal amortisation - SW-LIC,
11325000,Impairment amortisation - SW-LIC,
11326000,Disposal amortisation. -SW LIC,
11327000,Revaluation amortisation. - SW LIC,
11328000,Reclassification amortisation. -SW LIC,
11328500,Transfers amortisation. - SW - LIC,
11329000,Write off amortisation. -SW LIC,
11400000,Goodwill,
11410000,Gross BV Goodwill,
11411000,Book Value BF - Goodwill,
11412000,Additions - Goodwill,
11414000,Impairment Reversal - Goodwill,
11415000,Impairment Losses - Goodwill,
11416000,Disposal -Goodwill,
11417000,Revaluation - Goodwill,
11418000,Reclassification - Goodwill,
11419000,Write off - Goodwill,
11420000,amortisation -Goodwill,
11421000,Accum. amortisation. -Goodwill,
11422000,Current amortisation. -Goodwill,
11424000,Impairment Reversal amortisation - Goodwill,
11425000,Impairment amortisation - Goodwill,
11426000,Disposal amortisation. -Goodwill,
11427000,Revaluation amortisation. - Goodwill,
11428000,Reclassification amortisation. -Goodwill,
11429000,Write off amortisation. -Goodwill,
11500000,"Licences, Trademarks & Artistic Orig. (LTAO)",
11510000,Gross BV - LTAO,
11511000,Book Value BF - LTAO,
11514000,Additions - LTAO,
11514500,Donations - LTAO,
11515000,Impairment Reversal - LTAO,
11512000,Impairment Losses - LTAO,
11516000,Disposal -LTAO,
11517000,Revaluation - LTAO,
11518000,Reclassification - LTAO,
11518500,Transfers - LTAO,
11519000,Write off LTAO,
11520000,amortisation - LTAO,
11521000,Accum. amortisation. - LTAO,
11522000,Current amortisation. - LTAO,
11524000,Impairment Reversal amortisation - LTAO,
11525000,Impairment amortisation - LTAO,
11526000,Disposal amortisation. - LTAO,
11527000,Revaluation amortisation. - LTAO,
11528000,Reclassification amortisation. - LTAO,
11528500,Transfers amortisation. - LTAO,
11529000,Write off amortisation. - LTAO,
11600000,Single Use Military Equipment - Intangible (SUME-INT),
11610000,Gross BV-SUME-INT,
11611000,Book Value  BF - SUME-INT,
11614000,Additions - SUME-INT,
11615000,Impairment Reversal - SUME-INT,
11612000,Impairment Losses - SUME-INT,
11616000,Disposal - SUME-INT,
11617000,Revaluation - SUME-INT,
11618000,Reclassification - SUME-INT,
11618500,Transfers - SUME-INT,
11619000,Write off - SUME-INT,
11620000,amortisation - SUME-INT,
11621000,Accum. amortisation. BF - SUME-INT,
11622000,Current amortisation. - SUME-INT,
11624000,Impairment Reversal amortisation. - SUME-INT,
11625000,Impairment amortisation. - SUME-INT,
11626000,Disposal amortisation. - SUME-INT,
11627000,Revaluation amortisation. - SUME-INT,
11628000,Reclassification amortisation. - SUME-INT,
11628500,Transfers amortisation. - SUME-INT,
11629000,Write off amortisation. - SUME-INT,
11700000,Emissions rights allowances,
11710000,Gross BV - Emissions rights allowances,
11711000,Emissions rights allowances - Opening balance,
11714000,Emissions rights allowances - Additions,
11716000,Emissions rights allowances - disposals,
11717000,Emissions rights allowances - revaluation,
11719000,Emissions rights allowances - settlement,
11800000,Landfill Allowance Asset,
11810000,Landfill Allowance Asset Gross BV,
11811000,Landfill Allowance Asset Opening Balance,
11814000,Landfill Allowance Asset Additions,
11816000,Landfill Allowance Asset Disposal,
11817000,Landfill Allowance Asset Revaluation,
11819000,Landfill Allowance Asset Settlement,
14300000,Information Technology (IT) - Internally Developed Software (IDS) (IT_IDS),
14310000,Gross BV - IT_IDS,
14311000,Gross BV BF - IT_IDS,
14312000,Additions - IT_IDS,
14313000,Donations - IT_IDS,
14314000,Impairment Reversal - IT_IDS,
14315000,Impairment Losses - IT_IDS,
14316000,Disposals GBV - IT_IDS,
14317000,Revaluation - IT_IDS,
14318000,Reclassification - IT_IDS,
14319000,Transfers - IT_IDS,
14320000,amortisation - Internally Developed Software (IDS) (IT_IDS),
14321000,Accum. amortisation. BF- IT_IDS,
14322000,Current amortisation. - IT_IDS,
14323000,Impairment Reversal amortisation. - IT_IDS,
14324000,Impairment amortisation. - IT_IDS,
14325000,Disposal amortisation. - IT_IDS,
14326000,Revaluation amortisation. - IT_IDS,
14327000,Reclassification amortisation. - IT_IDS,
14328000,Transfers amortisation. - IT_IDS,
13000000,"Property, plant and equipment",
13200000,Dwellings (DW),
13210000,Gross BV - DW,
13211000,Gross BV BF - DW,
13212200,Land and Buildings - DW,
13213200,Land and Buildings - Donations DW,
13214000,Impairment Reversal - DW,
13215000,Impairment Losses - DW,
13216000,Disposals GBV - DW,
13216200,Land and Buildings - Disposals DW,
13217000,Revaluations - DW,
13218000,Reclassification - DW,
13219000,Transfers - DW,
13220000,amortisation - DW,
13221000,Accum. amortisation. BF- DW,
13222000,Current amortisation. - DW,
13224000,Impairment Reversal amortisation.- DW,
13225000,Impairment amortisation.- DW,
13226600,Buildings only - Disposals amortisation DW,
13227000,Revaluations amortisation. - DW,
13228000,Reclassification amortisation. - DW,
13229000,Transfers amortisation. - DW,
13230000,Gross BV - DW Land,
13231000,Gross BV BF - Dwellings Land,
13232100,Land only - Dwellings Land,
13233000,Impairment Reversal - Dwellings Land,
13234000,Impairment Losses - Dwellings Land,
13235100,Donations - dwellings land only,
13236100,Land only - Disposal Dwellings,
13237000,Revaluations - Dwellings Land,
13238000,Transfer - Dwellings Land,
13239000,Reclassification - Dwellings Land,
13300000,Other Land & Buildings (OLB),
13310000,Gross BV - OLB,
13311000,Gross BV BF - OLB,
13312000,Additions - OLB,
13312600,Buildings only - OLB,
13312700,Capitalised provisions - OLB,
13313000,Donations - OLB,
